Distance/m,Elevation of N2/m,Elevation of N3/m,Elevation of N4/m,Elevation of N5/m,Elevation of N6/m,Elevation of N7/m,Elevation of N8/m
406,-2.170039075,,-1.850486027,-1.4860384,,,
407,-2.202298877,,-1.849937862,-1.496700943,,,
408,-2.234558679,,-1.849389698,-1.507987887,,,
409,,,-1.848841533,-1.519274832,,,
410,,,-1.848293369,-1.530561777,,,
411,,,-1.847745205,-1.541848721,,,
412,,,-1.84719704,-1.553135666,,,
413,,,-1.846648876,-1.564422611,,,
414,,,-1.846100712,-1.577122627,,,
415,,,-1.845552547,-1.592709081,,,
416,,,-1.845004383,-1.608295534,,,
417,,,-1.844456218,-1.623881987,,,
418,,,-1.843908054,-1.63946844,,,
419,,,-1.84335989,-1.655054893,,,
420,,,-1.842811725,-1.670641347,,,
421,,,-1.842263561,-1.6862278,,,
422,,,-1.841715397,-1.701814253,,,
423,,,-1.841167232,-1.717400706,,,
424,,,-1.842986667,-1.732290735,,,
425,,,-1.845845497,-1.747041378,,,
426,,,-1.848704326,-1.761792021,,,
427,,,-1.851563155,-1.776542665,,,
428,,,-1.854421985,-1.791293308,,,
429,,,-1.857280814,-1.806043952,,,
430,,,-1.860139643,-1.82115917,,,
431,,,-1.862998473,-1.842677684,,,
432,,,-1.865857302,-1.864196198,,,
433,,,-1.868716131,-1.885714711,,,
434,,,-1.871397302,-1.907233225,,,
435,,,-1.873372773,-1.928751739,,,
436,,,-1.875348245,-1.948551385,,,
437,,,-1.877323717,-1.968150491,,,
438,,,-1.879299188,-1.987749596,,,
439,,,-1.88127466,-2.007348702,,,
440,,,-1.883250131,-2.026947808,,,
441,,,-1.885225603,-2.046418955,,,
442,,,-1.887201074,-2.065832936,,,
443,,,-1.889176546,-2.085246917,,,
444,,,-1.891152017,-2.104660898,,,
445,,,-1.893127489,-2.124074878,,,
446,,,-1.89554791,-2.144581211,,,
447,,,-1.906060509,-2.165567371,,,
448,,,-1.916573107,-2.18655353,,,
