Image no,Image name,LandsatC1,LandsatC2,LandsatC3,LandsatC4,LandsatC5,LandsatC6,LandsatC7,LandsatC8,LandsatC9
824,LC09_120035_20211119.tif,,149.3593,150.1952,,,106.5156,,270.0281,295.6048
826,LC09_120035_20211124.tif,102.4635,153.1286,152.194,125.7667,,107.8887,25.89037,269.2038,299.3566
829,LC08_120035_20211207.tif,107.2359,157.5082,158.0608,127.802,130.5897,112.5047,27.56399,271.2303,307.507
832,LC09_120035_20211215.tif,102.5359,151.2449,150.1952,123.3255,126.2675,111.441,23.01752,269.2016,298.2255
835,LC09_120035_20211231.tif,98.92033,152.1835,150.3505,121.0874,,112.3867,,267.7589,
839,LC09_120035_20220116.tif,102.1745,153.1305,149.2567,124.006,121.9626,111.6936,23.12715,265.5468,297.0392
841,LC09_120035_20220201.tif,102.5359,153.1305,148.9889,122.8716,126.3331,109.825,22.44378,265.372,292.9132
848,LC09_120035_20220305.tif,102.6082,154.5417,148.9889,124.8273,126.8207,112.0976,21.73745,266.3374,293.2999
852,LC09_120035_20220406.tif,102.5359,156.7839,153.1894,127.291,128.6721,112.6279,26.34933,269.7921,294.4861
856,LC09_120035_20220422.tif,103.9098,156.4292,153.9495,130.1102,130.1681,112.6279,30.42478,267.9188,300.1165
858,LC09_120035_20220508.tif,100.5113,158.7896,153.9495,130.1102,130.1681,115.3046,26.92601,270.1151,296.8582
