Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
327,LE07_120035_20070616.tif,2007/6/16,-0.542144771,188.5573,,,193.7584,,,193.0735,,,
328,LE07_120035_20070904.tif,2007/9/4,0.923379421,190.4617,,,193.7594,,,180.9707,,190.456,217.9974
329,LE07_120035_20071022.tif,2007/10/22,0.091100253,198.8566,,,193.6815,,,185.2929,,,
330,LE07_120035_20071107.tif,2007/11/7,-1.000500144,197.5785,,,206.0815,,,328.2545,,349.3772,
331,LE07_120035_20071123.tif,2007/11/23,-1.421895665,,,447.9178,,,449.3973,,,,
332,LE07_120035_20071209.tif,2007/12/9,-1.911762555,,,,,,,363.8361,,,
333,LE07_120035_20071225.tif,2007/12/25,-2.321318317,,,,,,,370.5291,,378.2285,
334,LE07_120035_20080126.tif,2008/1/26,-1.006215848,201.776,,,197.062,,,191.1301,,267.0923,
335,LT05_120035_20080203.tif,2008/2/3,-0.802590752,207.9781,,,198.6792,,,313.7294,,345.3059,
336,LT05_120035_20080219.tif,2008/2/19,-1.867503539,,,,,,,381.7042,,399.4892,
337,LE07_120035_20080227.tif,2008/2/27,0.198921121,194.9348,,,194.7617,,,192.0041,,205.6087,
338,LE07_120035_20080314.tif,2008/3/14,0.719212672,183.6331,,,186.1293,,,177.8343,,175.275,
339,LE07_120035_20080415.tif,2008/4/15,0.138881483,188.4571,,,195.0651,,,188.7162,,,
340,LT05_120035_20080423.tif,2008/4/23,-0.45446365,198.8566,,,197.935,,,196.1308,,248.4117,
341,LE07_120035_20080501.tif,2008/5/1,0.125212098,,,,,,,,,,
342,LT05_120035_20080525.tif,2008/5/25,0.530061858,189.7351,,,192.7573,,,182.6407,,182.6344,
343,LT05_120035_20080813.tif,2008/8/13,0.224009768,,,,,,,184.8099,,197.5527,
344,LT05_120035_20080829.tif,2008/8/29,-0.521807232,196.8518,,,,,,,,,
345,LE07_120035_20080906.tif,2008/9/6,0.608509215,179.8867,,,186.7443,,,182.3526,,176.6476,
346,LT05_120035_20080914.tif,2008/9/14,-0.833587953,,,,,,,286.6165,,318.4466,
347,LE07_120035_20081024.tif,2008/10/24,0.306856241,,,,190.991,,,188.1062,,183.4898,
348,LE07_120035_20081109.tif,2008/11/9,-0.180882584,,,,,,,195.5545,,195.3118,
349,LE07_120035_20081211.tif,2008/12/11,-1.550963039,,,,,,,360.4778,,362.2918,
350,LE07_120035_20081227.tif,2008/12/27,-1.959928059,,,,,,,,,,
351,LE07_120035_20090112.tif,2009/1/12,-2.454619754,,,,,,,405.2027,,413.1523,
352,LE07_120035_20090128.tif,2009/1/28,-1.618157672,203.4889,,,,,,,,343.1941,370.7135
353,LT05_120035_20090205.tif,2009/2/5,-0.07409865,,,,,,,,,,
354,LE07_120035_20090301.tif,2009/3/1,-0.386451667,188.7327,,,189.1716,,,,,,
355,LT05_120035_20090309.tif,2009/3/9,-1.739420092,,,,,,,,,370.1624,
356,LE07_120035_20090317.tif,2009/3/17,0.506972411,184.5353,,,186.4813,,,185.42,,,
357,LT05_120035_20090325.tif,2009/3/25,-1.612906504,,,,,,,381.5986,,381.4863,
358,LE07_120035_20090402.tif,2009/4/2,0.891863786,193.5691,,,183.1911,,,,,177.1421,
359,LT05_120035_20090410.tif,2009/4/10,-1.417130234,204.0563,,,,,,345.8775,,351.585,
360,LT05_120035_20090426.tif,2009/4/26,-1.207915765,212.0753,,,,,,344.6574,396.3377,358.3469,416.0613
361,LE07_120035_20090504.tif,2009/5/4,0.455776416,194.5714,,,197.4226,,,189.3519,,,
362,LT05_120035_20090512.tif,2009/5/12,-0.112096233,190.374,,,186.4044,,,181.6831,,190.1745,
363,LT05_120035_20090528.tif,2009/5/28,0.576659983,,,,,,,,,,
364,LT05_120035_20090613.tif,2009/6/13,0.748172473,185.4499,,,186.8125,,,182.1915,,173.7175,
365,LE07_120035_20090621.tif,2009/6/21,-0.2551264,202.3147,,,,,,,,288.5315,
366,LT05_120035_20090629.tif,2009/6/29,1.412950926,,,,,,,,,176.5287,
367,LT05_120035_20090715.tif,2009/7/15,1.282109196,182.4429,,,180.3214,,,175.6414,,177.1421,
368,LT05_120035_20090731.tif,2009/7/31,0.800388393,178.1578,,,190.0429,,,183.5049,,178.4449,
369,LT05_120035_20090816.tif,2009/8/16,0.8570315,,,,188,,,182.4797,,177.503,
370,LT05_120035_20090901.tif,2009/9/1,-0.057170755,192.2911,,,191.0678,,,190.6313,,225.4621,
371,LE07_120035_20090909.tif,2009/9/9,-0.130534825,191.3764,,,,,,,,216.8021,
372,LT05_120035_20090917.tif,2009/9/17,-0.715248415,206.5121,,,211.2994,,,289.7559,,331.2595,
373,LE07_120035_20090925.tif,2009/9/25,0.592649585,,,,,,,182,,174.5337,
374,LT05_120035_20091003.tif,2009/10/3,-1.194542934,211.5239,,,,,,335.6294,,358.5461,416.5237
375,LT05_120035_20091019.tif,2009/10/19,-1.679810768,212.5264,,,215.1692,276.0851,397.2357,316.9749,408.2731,349.2573,390.7334
376,LE07_120035_20091027.tif,2009/10/27,0.444886326,186.8156,,,186.9058,,,187.403,,,
377,LT05_120035_20091104.tif,2009/11/4,-1.960018405,,,445.4005,,,429.2454,359.938,,382.3416,
378,LT05_120035_20091120.tif,2009/11/20,-1.222834678,193.9324,,,,,,278.6219,,308.8007,
379,LT05_120035_20091206.tif,2009/12/6,-0.863927758,197.1274,,,194.0556,,,190.4246,,277.4268,
380,LE07_120035_20091230.tif,2009/12/30,-1.5706917,,,,,,,379.8043,,380.2456,
381,LE07_120035_20100115.tif,2010/1/15,-2.046959149,,,,,,,,,,
382,LT05_120035_20100123.tif,2010/1/23,0.378121569,191.013,,,184.036,,,184.9116,,178.6245,
383,LE07_120035_20100216.tif,2010/2/16,-1.445025425,203.7806,,,,,,327.0879,,355.6555,
384,LT05_120035_20100312.tif,2010/3/12,-0.948091959,,,,,,,,406.1449,313.0443,
385,LT05_120035_20100328.tif,2010/3/28,-1.524328834,,,,,,,385.3868,,386.4987,
386,LT05_120035_20100413.tif,2010/4/13,-1.292360745,203.3171,,,227.3457,268.808,,340.9249,,344.6563,
387,LT05_120035_20100429.tif,2010/4/29,-1.258342154,240.3866,,,,,,348.8179,,354.4754,
388,LE07_120035_20100507.tif,2010/5/7,0.726663237,,,,186.2323,,,182.3526,,174.8152,
389,LT05_120035_20100803.tif,2010/8/3,1.149989186,,,,184.7627,,,182.21,,175.4532,
390,LE07_120035_20100811.tif,2010/8/11,-0.952758154,,,,,,,,425.8654,,421.1989
391,LE07_120035_20100912.tif,2010/9/12,-0.349971963,183.0819,,,,,,,,219.6355,
392,LT05_120035_20100920.tif,2010/9/20,-0.271853934,192.2033,,,195.1346,,,193.8598,401.2641,254.4916,386.9616
393,LE07_120035_20100928.tif,2010/9/28,-0.275438994,197.9419,,,,,,,,218.133,
394,LT05_120035_20101006.tif,2010/10/6,-0.959790372,202.866,,,202.2508,,,318.2279,,334.101,
395,LT05_120035_20101022.tif,2010/10/22,-1.383887465,234.1398,,,,,,354.8597,,356.186,
396,LE07_120035_20101030.tif,2010/10/30,0.508455442,181.9904,,,182.9818,,,183.8688,,174.0741,
397,LE07_120035_20101115.tif,2010/11/15,0.269759438,191.2888,,,190.0978,,,190.0337,,200.4202,
398,LT05_120035_20101209.tif,2010/12/9,-1.23873237,193.2057,,,201.3121,,,,,,
399,LE07_120035_20101217.tif,2010/12/17,-0.515642627,188.7327,,,193.5533,,,195.6883,,,
400,LT05_120035_20101225.tif,2010/12/25,-0.829374391,188.0937,,,197.9166,,,,,,
401,LE07_120035_20110102.tif,2011/1/2,-1.588729757,,,,,,,,,354.4624,
402,LT05_120035_20110110.tif,2011/1/10,-0.14895728,188.645,,,191.0934,,,186.6657,,211.7348,
403,LT05_120035_20110126.tif,2011/1/26,0.527878889,180.0747,,,178.3842,,,174.6894,,174.9184,
404,LE07_120035_20110203.tif,2011/2/3,-2.068500283,,,,,,,,,,
405,LT05_120035_20110211.tif,2011/2/11,0.394430427,191.2888,,,185.2073,,,172.9553,,195.6163,
406,LE07_120035_20110307.tif,2011/3/7,-1.154054623,188.2816,,,,,,,,,
407,LE07_120035_20110323.tif,2011/3/23,-0.444216528,199.3076,,,192.6207,,,198.3,,242.4069,
408,LT05_120035_20110331.tif,2011/3/31,-0.96777398,221.5538,,,,,,,,363.6776,
409,LE07_120035_20110408.tif,2011/4/8,0.018300056,186.9159,,,183.3624,,,,,,
410,LT05_120035_20110416.tif,2011/4/16,-1.146936394,203.0951,,,,,,,,375.7052,
411,LT05_120035_20110518.tif,2011/5/18,-1.044969436,,,,,,,,,,
412,LE07_120035_20110611.tif,2011/6/11,1.01252375,178.7968,,,182.8646,,,176.7599,,179.4193,
413,LT05_120035_20110619.tif,2011/6/19,0.229222197,,,,,,,,,192.4535,
414,LE07_120035_20110627.tif,2011/6/27,0.370324572,173.9603,,,178.6814,,,173.1263,,174.082,212.9533
415,LE07_120035_20110713.tif,2011/7/13,-0.194638669,,,,,,,,,,
416,LT05_120035_20110721.tif,2011/7/21,0.911200021,,,,,,,181.073,,180.9239,
417,LT05_120035_20110822.tif,2011/8/22,1.017188532,181.3528,,,178.0035,,,168.2609,,175.2334,
